algoritmo;n;m;tempo_mediano_s;comparacoes;profundidade_max
mergesort_iter;1000;0;0.000062579;8708;0
mergesort_rec;1000;0;0.000056675;8704;11
seq_iter;1000;1000;0.002400010;742657;0
seq_rec;1000;1000;0.011690016;742657;1001
bin_iter;1000;1000;0.000129698;9489;0
bin_rec;1000;1000;0.000153569;9489;11
mergesort_iter;2000;0;0.000118515;19648;0
mergesort_rec;2000;0;0.000174986;19582;12
seq_iter;2000;1000;0.004691499;1479876;0
seq_rec;2000;1000;0.024369637;1479876;2001
bin_iter;2000;1000;0.000159602;10476;0
bin_rec;2000;1000;0.000180858;10476;12
mergesort_iter;5000;0;0.000373466;56716;0
mergesort_rec;5000;0;0.000589494;54813;14
seq_iter;5000;1000;0.011826924;3765837;0
seq_rec;5000;1000;0.063492539;3765837;5001
bin_iter;5000;1000;0.000192177;11871;0
bin_rec;5000;1000;0.000213300;11871;14
mergesort_iter;10000;0;0.000925283;121996;0
mergesort_rec;10000;0;0.001244370;118119;15
seq_iter;10000;1000;0.023387486;7610746;0
seq_rec;10000;1000;0.128420319;7610746;10001
bin_iter;10000;1000;0.000212131;12821;0
bin_rec;10000;1000;0.000249426;12821;15
mergesort_iter;20000;0;0.001837215;263918;0
mergesort_rec;20000;0;0.002506912;255078;16
seq_iter;20000;1000;0.046216810;14974654;0
seq_rec;20000;1000;0.258438670;14974654;20001
bin_iter;20000;1000;0.000242082;13888;0
bin_rec;20000;1000;0.000265550;13888;16
mergesort_iter;50000;0;0.005194842;743618;0
mergesort_rec;50000;0;0.007039857;727604;17
seq_iter;50000;1000;0.115966554;37928151;0
seq_rec;50000;1000;0.673529786;37928151;50001
bin_iter;50000;1000;0.000281175;15161;0
bin_rec;50000;1000;0.000318825;15161;17
mergesort_iter;100000;0;0.010281920;1573184;0
mergesort_rec;100000;0;0.013028050;1541041;18
seq_iter;100000;1000;0.231542737;74730633;0
seq_rec;100000;1000;1.361081989;74730633;100001
bin_iter;100000;1000;0.000321758;16173;0
bin_rec;100000;1000;0.000371571;16173;18
mergesort_iter;200000;0;0.023921162;3297788;0
mergesort_rec;200000;0;0.034630354;3261550;19
seq_iter;200000;1000;0.470346352;151508532;0
seq_rec;200000;1000;2.781631481;151508532;200001
bin_iter;200000;1000;0.000440021;17206;0
bin_rec;200000;1000;0.000479459;17206;19
mergesort_iter;500000;0;0.059285192;8952395;0
mergesort_rec;500000;0;0.086909369;8935736;20
bin_iter;500000;1000;0.000515102;18399;0
bin_rec;500000;1000;0.000597074;18399;20
mergesort_iter;1000000;0;0.153441233;18728677;0
mergesort_rec;1000000;0;0.208984755;18683720;21
bin_iter;1000000;1000;0.000691679;19476;0
bin_rec;1000000;1000;0.000838645;19476;21
